"COMMUNE_CODE";"COMMUNE_NOM";"CARBURANT";"CRIT_AIR";"STATUT_UTILISATEUR";"GROUPE";"CATEGORIE";"PARC_2011";"PARC_2012";"PARC_2013";"PARC_2014";"PARC_2015";"PARC_2016";"PARC_2017";"PARC_2018";"PARC_2019";"PARC_2020";"PARC_2021";"PARC_2022";"PARC_2023";"PARC_2024";"PARC_2025"
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 3";"Particulier";"PL";"AUTREPL";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 3";"Particulier";"VUL";"CAMTTE";0;1;2;2;2;2;2;2;2;1;2;2;2;2;2
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 3";"Professionel";"VUL";"CAMTTE";0;1;1;1;1;1;2;2;2;2;2;2;2;2;2
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 2";"Particulier";"VUL";"CAMTTE";0;1;1;1;1;1;1;1;1;2;2;1;1;1;1
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Non classé";"Professionel";"VUL";"CAMTTE";1;1;0;0;0;0;1;1;1;0;0;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 4";"Particulier";"VUL";"CAMTTE";3;4;2;2;2;3;3;2;2;1;1;2;2;2;3
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 3";"Particulier";"VUL";"DERIVP";1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 3";"Professionel";"VUL";"DERIVP";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 5";"Particulier";"VUL";"DERIVP";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 4";"Particulier";"VUL";"CAMPCAR";1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 3";"Particulier";"VUL";"CAMPCAR";1;1;2;2;1;1;1;1;1;1;1;1;1;1;1
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 2";"Professionel";"VP";"VP";0;1;2;4;4;1;0;0;0;1;2;2;56;55;53
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 3";"Professionel";"VP";"VP";2;3;4;1;1;1;2;1;1;0;0;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 3";"Particulier";"VP";"VP";9;26;26;26;25;25;24;24;22;21;26;29;27;20;18
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 4";"Particulier";"VP";"VP";10;12;11;10;10;9;9;9;7;8;5;5;7;5;5
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 5";"Particulier";"VP";"VP";3;4;5;5;5;6;4;3;2;2;3;1;1;0;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Non classé";"Particulier";"VP";"VP";5;9;9;6;5;5;5;3;2;3;4;3;3;0;0
"77000";"Inconnu (Seine-et-Marne)";"Essence";"Crit'Air 1";"Particulier";"VP";"VP";0;5;6;5;4;5;6;6;5;10;14;18;19;17;14
"77000";"Inconnu (Seine-et-Marne)";"Essence";"Crit'Air 3";"Particulier";"VP";"VP";2;4;7;6;5;7;7;9;6;8;8;6;4;4;4
"77000";"Inconnu (Seine-et-Marne)";"Essence";"Non classé";"Particulier";"VP";"VP";4;6;8;5;5;6;5;6;6;5;6;6;5;3;3
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Non classé";"Particulier";"VUL";"CAMTTE";0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Essence";"Non classé";"Particulier";"VUL";"CAMTTE";0;2;2;1;1;0;0;0;0;1;1;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 2";"Particulier";"VP";"VP";0;0;4;7;7;8;9;9;9;11;15;23;19;12;10
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 4";"Professionel";"VP";"VP";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Essence";"Crit'Air 2";"Particulier";"VP";"VP";0;1;4;2;2;1;1;2;1;4;3;6;4;3;4
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 5";"Particulier";"VUL";"CAMTTE";0;0;1;1;1;2;1;1;3;0;0;0;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 2";"Professionel";"VUL";"CAMTTE";0;0;1;4;3;3;3;2;0;0;1;2;127;124;119
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 2";"Professionel";"VUL";"DERIVP";0;0;0;1;1;2;2;2;2;1;1;0;9;9;9
"77000";"Inconnu (Seine-et-Marne)";"Essence HNR";"Crit'Air 1";"Particulier";"VP";"VP";0;0;0;0;0;0;0;0;0;0;3;5;6;6;5
"77000";"Inconnu (Seine-et-Marne)";"Essence";"Crit'Air 1";"Professionel";"VP";"VP";0;0;0;0;0;0;0;0;0;0;2;2;32;32;28
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 3";"Professionel";"TCP";"CAR";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"77000";"Inconnu (Seine-et-Marne)";"Electrique";"Crit'Air E";"Particulier";"VP";"VP";0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"77000";"Inconnu (Seine-et-Marne)";"Electrique";"Crit'Air E";"Professionel";"VUL";"CAMTTE";0;0;0;0;0;0;0;0;0;0;0;0;2;2;2
"77000";"Inconnu (Seine-et-Marne)";"Essence";"Crit'Air 1";"Professionel";"VUL";"CAMTTE";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 2";"Particulier";"VUL";"DERIVP";0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"77000";"Inconnu (Seine-et-Marne)";"Essence HNR";"Crit'Air 1";"Professionel";"VUL";"DERIVP";0;0;0;0;0;0;0;0;0;0;0;0;2;1;1
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Non classé";"Particulier";"VUL";"CAMPCAR";0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"77000";"Inconnu (Seine-et-Marne)";"Gaz";"Crit'Air 1";"Particulier";"VP";"VP";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"77000";"Inconnu (Seine-et-Marne)";"Diesel HNR";"Crit'Air 2";"Professionel";"VP";"VP";0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"77000";"Inconnu (Seine-et-Marne)";"Electrique";"Crit'Air E";"Professionel";"VP";"VP";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"77000";"Inconnu (Seine-et-Marne)";"Essence HNR";"Crit'Air 1";"Professionel";"VP";"VP";0;0;0;0;0;0;0;0;0;0;0;0;11;11;11
"77000";"Inconnu (Seine-et-Marne)";"Essence HR";"Crit'Air 1";"Professionel";"VP";"VP";0;0;0;0;0;0;0;0;0;0;0;0;17;17;17
"77000";"Inconnu (Seine-et-Marne)";"Diesel";"Crit'Air 4";"Particulier";"VUL";"VASP";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 3";"Particulier";"PL";"AUTREPL";0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 5";"Professionel";"PL";"CAMION";1;1;2;2;2;2;2;2;2;2;2;2;2;1;1
"77001";"Achères-la-Forêt";"Diesel";"Non classé";"Professionel";"PL";"CAMION";2;0;0;0;0;1;1;1;1;1;0;0;0;0;0
"77001";"Achères-la-Forêt";"Diesel";"Non classé";"Particulier";"PL";"CAMION";2;1;2;1;1;1;1;1;1;0;1;1;1;1;1
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 3";"Professionel";"PL";"TRACTEUR";0;2;1;1;1;0;0;1;1;1;0;0;0;0;0
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 5";"Professionel";"PL";"TRACTEUR";1;2;1;1;1;0;0;0;0;0;0;0;0;1;1
"77001";"Achères-la-Forêt";"Essence";"Crit'Air 3";"Particulier";"VUL";"CAMTTE";1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 5";"Professionel";"VUL";"CAMTTE";3;3;3;3;2;2;1;1;1;1;2;2;1;1;1
"77001";"Achères-la-Forêt";"Gaz";"Crit'Air 1";"Particulier";"VUL";"CAMTTE";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 2";"Professionel";"VUL";"CAMTTE";0;3;4;6;6;7;8;13;15;14;19;25;27;23;35
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 3";"Professionel";"VUL";"CAMTTE";9;9;10;6;8;9;9;8;7;6;4;3;3;1;1
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 3";"Particulier";"VUL";"CAMTTE";5;9;7;8;10;12;15;16;17;15;15;14;15;16;16
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 4";"Professionel";"VUL";"CAMTTE";4;4;3;3;3;2;2;2;1;2;2;2;2;2;3
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 4";"Particulier";"VUL";"CAMTTE";15;14;17;18;11;13;16;17;16;13;12;12;13;12;8
"77001";"Achères-la-Forêt";"Diesel";"Crit'Air 5";"Particulier";"VUL";"CAMTTE";11;11;8;12;11;10;13;15;11;9;8;8;6;6;8
"77001";"Achères-la-Forêt";"Diesel";"Non classé";"Professionel";"VUL";"CAMTTE";3;3;4;2;1;1;1;2;2;1;1;2;2;2;1
